@relation 'Data-weka.filters.unsupervised.attribute.Remove-R7-15,39,41,51,77,103,129,155,181,207,233-weka.filters.unsupervised.attribute.Remove-R85-234'

@attribute YEAR {2010,2011,2012}
@attribute IDOUT numeric
@attribute GENDER {0,F,M}
@attribute MAL-STATE {0,AB,AE,AK,AZ,BC,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,MA,ME,MI,MN,MO,MT,NC,ND,NE,NH,NJ,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,VA,VT,WA,WI}
@attribute VISA-TYPE {0,F1,H4,J1,PR}
@attribute RACE-DESC {0,AmericanIndianorAlaskanNative,Asian,BlackorAfricanAmerican,HispanicLatino,NativeHawaiianorOtherPacificIslander,NonResidentAlien,TwoorMoreRaces,Unknown,White}
@attribute ADMIT-PROGRAM1 {0,1-AA,1-ADDW,1-BA,1-BFA,1-BMUE,1-BMUS,1-BS,1-CIS,1-CONSORTIUM,1-NOND,1-PSEO,1-UND,2-BA,2-CRT,2-LIC,2-MA,2-SPECG,3-MATS,3-MDG,3-SPEC}
@attribute ADMIT-MAJR1 {0,AAA,ADDW,AFN,AG,ANT,ARB,ARD,ART,ARW,ATR,BCS,BIA,BIO,BIS,BKS,BTS,BUE,BUP,BUS,CERT,CHA,CHE,CHS,CHV,CIBE,CLV,COA,COH,COM,COS,CPM,CST,DES,ECF,ECO,EDE,EDU,ELW,ENL,ENR,ENS,ENW,EST,EVS,EXS,FF,FR,FRE,FRW,HAS,HIS,HPE,HRMP,IN,INF,INM,INR,JR,JRN,JSV,LAN,LIN,LISC,LSV,MA,MAT,MAV,MEC,MIN,MPR,MSM,MUA,MUS,MUW,MWL,NON,NOND,NUR,ORG,PED,PEV,PEW,PHA,PHI,PHS,PHV,PHY,POL,PSE,PSY,REC,SCS,SO,SOW,SPA,SPC,SPW,SR,SSV,TEAG,TES,TFL,THA,TS,TWS,UND,Y,YOM}
@attribute ADMIT-MAJR2 {0,AAA,ADDW,AFN,AG,ANT,ARB,ARD,ART,ARW,ATR,BCS,BIA,BIO,BIS,BKS,BTS,BUE,BUP,BUS,CERT,CHA,CHE,CHS,CHV,CIBE,CLV,COA,COH,COM,COS,CPM,CST,DES,ECF,ECO,EDE,EDU,ELW,ENL,ENR,ENS,ENW,EST,EVS,EXS,FF,FR,FRE,FRW,HAS,HIS,HPE,HRMP,IN,INF,INM,INR,JR,JRN,JSV,LAN,LIN,LISC,LSV,MA,MAT,MAV,MEC,MIN,MPR,MSM,MUA,MUS,MUW,MWL,NON,NOND,NUR,ORG,PED,PEV,PEW,PHA,PHI,PHS,PHV,PHY,POL,PSE,PSY,REC,SCS,SO,SOW,SPA,SPC,SPW,SR,SSV,TEAG,TES,TFL,THA,TS,TWS,UND,Y,YOM}
@attribute CLASSIFICATION {FF,FR,JR,SO,SR}
@attribute STD-TYPE {N,P,R,T}
@attribute ADMIT-CODE {PV,RG,SP}
@attribute HSCH-RANK numeric
@attribute HSCH-SIZE numeric
@attribute HSCH-PERCENTILE numeric
@attribute HSCH-GPA numeric
@attribute A-Eng numeric
@attribute A-Math numeric
@attribute A-Read numeric
@attribute A-Scn numeric
@attribute A-Comp numeric
@attribute A-Eng-Wrt numeric
@attribute S-Verb numeric
@attribute S-Math numeric
@attribute S-Wrt numeric
@attribute S-Comp numeric
@attribute FatherGrade numeric
@attribute MotherGrade numeric
@attribute PellEFC numeric
@attribute NumberSemesters numeric
@attribute CumulativeGPA numeric
@attribute Graduate {Y,N}
@attribute Graduation_Majr1 {0,AAA,ADDW,AFN,AG,ANT,ARB,ARD,ART,ARW,ATR,BCS,BIA,BIO,BIS,BKS,BTS,BUE,BUP,BUS,CERT,CHA,CHE,CHS,CHV,CIBE,CLV,COA,COH,COM,COS,CPM,CST,DES,ECF,ECO,EDE,EDU,ELW,ENL,ENR,ENS,ENW,EST,EVS,EXS,FF,FR,FRE,FRW,HAS,HIS,HPE,HRMP,IN,INF,INM,INR,JR,JRN,JSV,LAN,LIN,LISC,LSV,MA,MAT,MAV,MEC,MIN,MPR,MSM,MUA,MUS,MUW,MWL,NON,NOND,NUR,ORG,PED,PEV,PEW,PHA,PHI,PHS,PHV,PHY,POL,PSE,PSY,REC,SCS,SO,SOW,SPA,SPC,SPW,SR,SSV,TEAG,TES,TFL,THA,TS,TWS,UND,Y,YOM}
@attribute Graduation_Majr2 {0,AAA,ADDW,AFN,AG,ANT,ARB,ARD,ART,ARW,ATR,BCS,BIA,BIO,BIS,BKS,BTS,BUE,BUP,BUS,CERT,CHA,CHE,CHS,CHV,CIBE,CLV,COA,COH,COM,COS,CPM,CST,DES,ECF,ECO,EDE,EDU,ELW,ENL,ENR,ENS,ENW,EST,EVS,EXS,FF,FR,FRE,FRW,HAS,HIS,HPE,HRMP,IN,INF,INM,INR,JR,JRN,JSV,LAN,LIN,LISC,LSV,MA,MAT,MAV,MEC,MIN,MPR,MSM,MUA,MUS,MUW,MWL,NON,NOND,NUR,ORG,PED,PEV,PEW,PHA,PHI,PHS,PHV,PHY,POL,PSE,PSY,REC,SCS,SO,SOW,SPA,SPC,SPW,SR,SSV,TEAG,TES,TFL,THA,TS,TWS,UND,Y,YOM}
@attribute T1-ATTEMPT-HRS numeric
@attribute T1-EARNED-HRS numeric
@attribute T1-CUM-GPA numeric
@attribute T1-CUM-EARNED-HRS numeric
@attribute T1-PROGRAM1 {0,1-AA,1-ADDW,1-BA,1-BFA,1-BMUE,1-BMUS,1-BS,1-CIS,1-CONSORTIUM,1-NOND,1-PSEO,1-UND,2-BA,2-CRT,2-LIC,2-MA,2-SPECG,3-MATS,3-MDG,3-SPEC}
@attribute T1-MAJR1 {0,AAA,ADDW,AFN,AG,ANT,ARB,ARD,ART,ARW,ATR,BCS,BIA,BIO,BIS,BKS,BTS,BUE,BUP,BUS,CERT,CHA,CHE,CHS,CHV,CIBE,CLV,COA,COH,COM,COS,CPM,CST,DES,ECF,ECO,EDE,EDU,ELW,ENL,ENR,ENS,ENW,EST,EVS,EXS,FF,FR,FRE,FRW,HAS,HIS,HPE,HRMP,IN,INF,INM,INR,JR,JRN,JSV,LAN,LIN,LISC,LSV,MA,MAT,MAV,MEC,MIN,MPR,MSM,MUA,MUS,MUW,MWL,NON,NOND,NUR,ORG,PED,PEV,PEW,PHA,PHI,PHS,PHV,PHY,POL,PSE,PSY,REC,SCS,SO,SOW,SPA,SPC,SPW,SR,SSV,TEAG,TES,TFL,THA,TS,TWS,UND,Y,YOM}
@attribute T1-ACCPT-NURSING {Y,N}
@attribute T1-PROGRAM2 {0,1-AA,1-ADDW,1-BA,1-BFA,1-BMUE,1-BMUS,1-BS,1-CIS,1-CONSORTIUM,1-NOND,1-PSEO,1-UND,2-BA,2-CRT,2-LIC,2-MA,2-SPECG,3-MATS,3-MDG,3-SPEC}
@attribute T1-MAJR2 {0,AAA,ADDW,AFN,AG,ANT,ARB,ARD,ART,ARW,ATR,BCS,BIA,BIO,BIS,BKS,BTS,BUE,BUP,BUS,CERT,CHA,CHE,CHS,CHV,CIBE,CLV,COA,COH,COM,COS,CPM,CST,DES,ECF,ECO,EDE,EDU,ELW,ENL,ENR,ENS,ENW,EST,EVS,EXS,FF,FR,FRE,FRW,HAS,HIS,HPE,HRMP,IN,INF,INM,INR,JR,JRN,JSV,LAN,LIN,LISC,LSV,MA,MAT,MAV,MEC,MIN,MPR,MSM,MUA,MUS,MUW,MWL,NON,NOND,NUR,ORG,PED,PEV,PEW,PHA,PHI,PHS,PHV,PHY,POL,PSE,PSY,REC,SCS,SO,SOW,SPA,SPC,SPW,SR,SSV,TEAG,TES,TFL,THA,TS,TWS,UND,Y,YOM}
@attribute T1-DEPT1 {0,ANT,ART,BIO,BTS,BUS,HAS,INM,MIN,CHE,COM,COS,EDUC,EDU,ENL,HIS,HPE,IN,MAT,MUS,MWL,NUR,PHI,PHY,POL,PSY,SOW,THA}
@attribute T1-DEPT2 {0,ANT,ART,BIO,BTS,BUS,HAS,INM,MIN,CHE,COM,COS,EDUC,EDU,ENL,HIS,HPE,IN,MAT,MUS,MWL,NUR,PHI,PHY,POL,PSY,SOW,THA}
@attribute T1-ACADEMIC-STAND {0,AD,GS,GW,P1,P2}
@attribute T1-HALL {0,AVEast,AVWest,BodienHall,DanielsonApts.,EdgrenHall,GetschHall,HeritageHall,LissnerHall,NelsonHall,TurnwallApts.,WessmanApts.,ChalbergApts.,WidenApts.,WingbladeApts.,zz721FountainTerr.Apts.,zz751FountainTerr.Apts.,zz799FountainTerr.Apts.}
@attribute T1-BASEBALL {0,1}
@attribute T1-BASKETBALL {0,1}
@attribute T1-CROSSCOUNTRY {0,1}
@attribute T1-FOOTBALL {0,1}
@attribute T1-GOLF {0,1}
@attribute T1-ICEHOCKEY {0,1}
@attribute T1-SOCCER {0,1}
@attribute T1-SOFTBALL {0,1}
@attribute T1-TENNIS {0,1}
@attribute T1-TRACKINDOOR {0,1}
@attribute T1-TRACKOUTDOOR {0,1}
@attribute T1-VOLLEYBALL {0,1}
@attribute T2-ATTEMPT-HRS numeric
@attribute T2-EARNED-HRS numeric
@attribute T2-CUM-GPA numeric
@attribute T2-CUM-EARNED-HRS numeric
@attribute T2-PROGRAM1 {0,1-AA,1-ADDW,1-BA,1-BFA,1-BMUE,1-BMUS,1-BS,1-CIS,1-CONSORTIUM,1-NOND,1-PSEO,1-UND,2-BA,2-CRT,2-LIC,2-MA,2-SPECG,3-MATS,3-MDG,3-SPEC}
@attribute T2-MAJR1 {0,AAA,ADDW,AFN,AG,ANT,ARB,ARD,ART,ARW,ATR,BCS,BIA,BIO,BIS,BKS,BTS,BUE,BUP,BUS,CERT,CHA,CHE,CHS,CHV,CIBE,CLV,COA,COH,COM,COS,CPM,CST,DES,ECF,ECO,EDE,EDU,ELW,ENL,ENR,ENS,ENW,EST,EVS,EXS,FF,FR,FRE,FRW,HAS,HIS,HPE,HRMP,IN,INF,INM,INR,JR,JRN,JSV,LAN,LIN,LISC,LSV,MA,MAT,MAV,MEC,MIN,MPR,MSM,MUA,MUS,MUW,MWL,NON,NOND,NUR,ORG,PED,PEV,PEW,PHA,PHI,PHS,PHV,PHY,POL,PSE,PSY,REC,SCS,SO,SOW,SPA,SPC,SPW,SR,SSV,TEAG,TES,TFL,THA,TS,TWS,UND,Y,YOM}
@attribute T2-ACCPT-NURSING {Y,N}
@attribute T2-PROGRAM2 {0,1-AA,1-ADDW,1-BA,1-BFA,1-BMUE,1-BMUS,1-BS,1-CIS,1-CONSORTIUM,1-NOND,1-PSEO,1-UND,2-BA,2-CRT,2-LIC,2-MA,2-SPECG,3-MATS,3-MDG,3-SPEC}
@attribute T2-MAJR2 {0,AAA,ADDW,AFN,AG,ANT,ARB,ARD,ART,ARW,ATR,BCS,BIA,BIO,BIS,BKS,BTS,BUE,BUP,BUS,CERT,CHA,CHE,CHS,CHV,CIBE,CLV,COA,COH,COM,COS,CPM,CST,DES,ECF,ECO,EDE,EDU,ELW,ENL,ENR,ENS,ENW,EST,EVS,EXS,FF,FR,FRE,FRW,HAS,HIS,HPE,HRMP,IN,INF,INM,INR,JR,JRN,JSV,LAN,LIN,LISC,LSV,MA,MAT,MAV,MEC,MIN,MPR,MSM,MUA,MUS,MUW,MWL,NON,NOND,NUR,ORG,PED,PEV,PEW,PHA,PHI,PHS,PHV,PHY,POL,PSE,PSY,REC,SCS,SO,SOW,SPA,SPC,SPW,SR,SSV,TEAG,TES,TFL,THA,TS,TWS,UND,Y,YOM}
@attribute T2-DEPT1 {0,ANT,ARD,ART,BIO,BTS,BUS,CHE,COM,COS,EDU,EDUC,ENL,HAS,HIS,HPE,HRMP,IN,INM,LAN,LISC,MAT,MIN,MUS,MWL,NUR,PHI,PHY,POL,PSY,SOW,THA}
@attribute T2-DEPT2 {0,ANT,ARD,ART,BIO,BTS,BUS,CHE,COM,COS,EDU,EDUC,ENL,HAS,HIS,HPE,HRMP,IN,INM,LAN,LISC,MAT,MIN,MUS,MWL,NUR,PHI,PHY,POL,PSY,SOW,THA}
@attribute T2-ACADEMIC-STAND {0,AD,GS,GW,P1,P2}
@attribute T2-HALL {0,AVEast,AVWest,BodienHall,DanielsonApts.,EdgrenHall,GetschHall,HeritageHall,LissnerHall,NelsonHall,TurnwallApts.,WessmanApts.,ChalbergApts.,WidenApts.,WingbladeApts.,zz721FountainTerr.Apts.,zz751FountainTerr.Apts.,zz799FountainTerr.Apts.}
@attribute T2-BASEBALL {0,1}
@attribute T2-BASKETBALL {0,1}
@attribute T2-CROSSCOUNTRY {0,1}
@attribute T2-FOOTBALL {0,1}
@attribute T2-GOLF {0,1}
@attribute T2-ICEHOCKEY {0,1}
@attribute T2-SOCCER {0,1}
@attribute T2-SOFTBALL {0,1}
@attribute T2-TENNIS {0,1}
@attribute T2-TRACKINDOOR {0,1}
@attribute T2-TRACKOUTDOOR {0,1}
@attribute T2-VOLLEYBALL {0,1}

@data
2012,2406071,M,MN,?,White,1-BA,BUS,0,JR,R,RG,137,273,49.8,3.378,?,?,?,?,?,?,?,?,?,?,?,?,?,1,3.41,Y,BUS,0,17,17,3.39,81,1-BA,BUS,?,?,0,BUS,?,GS,?,0,0,0,0,0,0,0,0,0,0,0,0,?,?,3.39,96,1-BA,BUS,?,?,0,BUS,0,?,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,1967586,M,MN,?,White,1-BS,BIS,0,FR,R,PV,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3,3,?,4,2.52,N,0,0,14,14,2.26,15,1-BS,BIS,?,?,0,BIO,?,GS,zz751FountainTerr.Apts.,0,0,0,0,0,0,0,0,0,0,0,0,15,11,2.44,29,1-BS,BIS,?,?,0,BIO,0,GS,zz721FountainTerr.Apts.,0,0,0,0,0,0,0,0,0,0,0,0
2012,2011168,M,MN,?,White,1-BA,ENR,BIA,SO,T,RG,46,329,86,3.757,20,31,23,29,26,19,?,?,?,?,3,3,?,1,0,N,0,0,14,0,0,41,1-BA,ENR,?,1-BA,BIA,PHY,BIO,P1,zz799FountainTerr.Apts.,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,41,1-BA,ENR,?,1-BA,BIA,PHY,BIO,?,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,2011198,F,MN,?,White,1-PSEO,PSE,BIS,FF,N,RG,?,?,?,3.329,32,34,36,35,34,29,?,?,?,?,?,?,?,1,3.5,N,0,0,8,8,3.5,8,1-PSEO,PSE,?,1-BS,BIS,?,BIO,GS,?,0,0,0,0,0,0,0,0,0,0,0,0,?,?,3.5,8,1-PSEO,PSE,?,1-BS,BIS,?,BIO,?,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,2016963,F,SD,?,White,1-BS,BIS,REC,SO,N,RG,31,416,92.5,3.88,32,27,32,28,30,29,?,?,?,?,3,3,?,1,3.72,Y,INR,BUS,15,15,3.18,45,1-BS,BIS,?,1-BA,REC,BIO,ANT,GS,EdgrenHall,0,0,1,0,0,0,0,0,0,0,0,0,?,?,3.18,45,1-BS,BIS,?,1-BA,REC,BIO,ANT,?,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,2019625,F,MN,?,White,1-BA,BUS,0,JR,T,RG,18,108,83.3,3.902,26,27,25,22,25,24,?,?,?,?,3,3,?,3,3.65,Y,BUS,0,14,14,3.65,84,1-BA,BUS,?,?,0,BUS,?,GS,zz799FountainTerr.Apts.,0,0,0,0,0,0,0,0,0,0,0,0,17,17,3.78,105,1-BA,BUS,?,?,0,BUS,0,GS,zz799FountainTerr.Apts.,0,0,0,0,0,0,0,0,0,0,0,0
2012,2019626,F,MN,?,White,1-BS,NUR,0,FR,N,RG,41,107,61.7,3.375,24,24,29,21,25,23,?,?,?,?,3,3,?,8,3.49,Y,NUR,0,16,16,3.5,29,1-BS,NUR,?,?,0,NUR,?,GS,NelsonHall,0,0,0,0,0,0,0,0,0,0,0,0,12,12,3.38,44,1-BS,NUR,?,?,0,NUR,0,GS,NelsonHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,2043104,F,MN,?,White,1-BS,NUR,0,FR,N,RG,24,374,93.6,3.905,28,23,22,22,24,25,?,?,?,?,3,3,?,8,3.2,Y,NUR,0,16,16,2.91,42,1-BS,NUR,?,?,0,NUR,?,GS,EdgrenHall,0,0,0,0,0,0,0,0,0,0,0,0,16,16,2.9,62,1-BS,NUR,?,?,0,NUR,0,GS,EdgrenHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,2044340,M,MN,?,White,1-BA,BUS,0,FF,N,PV,318,421,24.5,2.471,30,24,30,25,27,28,?,?,?,?,3,3,?,2,0.65,N,0,0,13,6,1.5,6,1-BA,BUS,?,?,0,BUS,?,P1,NelsonHall,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0.65,9,1-BA,BUS,?,?,0,BUS,0,AD,NelsonHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,2044444,M,MN,?,White,1-BS,BKS,0,FF,N,RG,?,?,?,3.076,21,24,16,21,21,21,?,?,?,?,3,3,?,8,2.71,Y,BKS,0,16,16,2.64,16,1-BS,BKS,?,?,0,HPE,?,GS,EdgrenHall,0,0,0,0,0,0,0,0,0,0,0,0,14,14,2.76,33,1-BS,BKS,?,?,0,HPE,0,GS,EdgrenHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,2046874,F,MN,?,White,1-BS,NUR,NUR,FR,T,RG,26,155,83.2,3.717,21,17,23,21,21,20,?,?,?,?,2,3,?,3,3.25,N,0,0,16,16,3.36,40,1-BS,NUR,?,1-BS,NUR,NUR,NUR,GS,?,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3.25,59,1-BS,NUR,?,?,0,NUR,0,GS,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,2048204,F,MN,?,White,1-BS,BKS,EDE,FR,N,RG,116,374,69,3.414,18,22,18,21,20,19,?,?,?,?,3,3,?,8,2.83,Y,EDE,0,13,13,2.78,30,1-BS,BKS,?,1-BA,EDE,HPE,EDU,GS,EdgrenHall,0,0,0,0,0,0,0,0,0,0,0,0,14,14,2.4,47,1-BS,BKS,?,1-BA,EDE,HPE,EDU,GS,EdgrenHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,2048987,F,MN,?,White,1-BA,BUS,0,FF,N,RG,158,602,73.8,3.57,22,24,17,22,21,20,?,?,?,?,3,3,?,1,2.73,N,0,0,13,13,2.17,13,1-BA,BUS,?,?,0,BUS,?,GS,BodienHall,0,0,1,0,0,0,0,0,0,1,0,0,?,?,2.17,13,1-BA,BUS,?,?,0,BUS,0,?,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,1453332,M,MN,?,White,1-UND,UND,0,FF,N,SP,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,N,0,0,4,0,0,0,1-UND,UND,?,?,0,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,?,0,0,1-UND,UND,?,?,0,?,0,?,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,2077865,F,MN,?,White,1-BMUE,MUW,SPW,FF,N,RG,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,2,?,3,2.83,N,0,0,17,14,3.28,27,1-BMUE,MUW,?,?,0,MUS,?,GS,BodienHall,0,0,0,0,0,0,0,0,0,0,0,0,14,14,2.78,45,1-BMUE,MUW,?,?,0,MUS,0,GS,BodienHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,2077873,M,MN,?,White,1-BA,BUS,0,FF,N,RG,35,115,69.6,3.261,16,23,19,20,20,?,?,?,?,?,3,2,?,8,2.51,N,0,0,12,12,2.68,12,1-BA,BUS,?,?,0,BUS,?,GS,NelsonHall,0,0,0,0,0,0,0,0,0,0,0,0,16,16,2.58,28,1-BA,BUS,?,?,0,BUS,0,GS,NelsonHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,2077895,M,MN,?,White,1-BA,BUS,MUS,SO,N,RG,98,741,86.8,3.51,21,28,28,27,26,19,?,?,?,?,?,?,?,4,3.2,Y,BUS,0,18,16,3.08,93,1-BA,BUS,?,1-BA,BUS,BUS,BUS,GS,?,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3.19,111,1-BA,BUS,?,1-BA,BUS,BUS,BUS,GS,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,2083807,M,MN,?,White,1-BA,EDE,PEW,SO,N,RG,172,582,70.4,3.37,18,22,21,23,21,19,?,?,?,?,3,3,?,8,3.14,Y,INM,0,15,15,2.95,66,1-BA,EDE,?,1-BA,PEW,EDU,HPE,GS,GetschHall,0,0,0,0,0,0,0,0,1,0,0,0,15,15,2.75,84,1-BA,EDE,?,1-BA,PEW,EDU,HPE,GS,GetschHall,0,0,0,0,0,0,0,0,1,0,0,0
2012,2090505,F,WI,?,White,1-BA,BUS,BUS,FR,N,RG,14,125,88.8,3.907,23,23,22,23,23,23,?,?,?,?,?,3,?,7,2.86,Y,BUS,0,13,13,3.53,31,1-BA,BUS,?,1-BA,BUS,BUS,BUS,GS,zz721FountainTerr.Apts.,0,0,0,0,0,0,0,0,0,0,0,0,14,14,3.14,49,1-BA,BUS,?,1-BA,BUS,BUS,BUS,GS,WessmanApts.,0,0,0,0,0,0,0,0,0,0,0,0
2012,2090788,F,MN,?,White,1-BA,SOW,NUR,FR,N,RG,5,215,97.7,3.985,21,21,19,22,20,21,?,?,?,?,3,3,?,8,3.89,Y,BIS,0,15,15,4,40,1-BA,SOW,?,1-BS,NUR,SOW,NUR,GS,BodienHall,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3.97,58,1-BS,BIS,?,?,0,BIO,0,GS,BodienHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,1719009,M,MN,?,White,1-PSEO,PSE,UND,FF,N,RG,93,287,67.6,3.521,31,34,31,29,31,23,?,?,?,?,?,?,?,8,3.38,Y,BTS,PHI,16,16,3.44,21,1-PSEO,PSE,?,1-UND,UND,?,?,GS,?,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3.37,36,1-PSEO,PSE,?,1-BA,BTS,?,BTS,GS,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,2062597,F,MN,?,White,1-PSEO,PSE,EDE,SO,N,RG,1,85,98.8,3.964,36,31,36,30,33,33,?,?,?,?,?,?,?,8,4,Y,EDE,SSV,15,15,4,64,1-PSEO,PSE,?,1-BA,EDE,?,EDU,GS,GetschHall,0,0,0,0,0,0,0,0,0,0,0,0,17,17,4,84,1-PSEO,PSE,?,1-BA,EDE,?,EDU,GS,GetschHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,2062606,M,MN,?,White,1-PSEO,PSE,MEC,FF,N,RG,?,?,?,3.389,21,24,14,23,21,?,?,?,?,?,?,?,?,8,2.79,Y,BUS,0,12,12,2.69,12,1-PSEO,PSE,?,1-BA,MEC,?,COM,GS,NelsonHall,0,0,0,0,0,0,0,0,0,0,0,0,15,15,2.74,31,1-PSEO,PSE,?,1-BS,AFN,?,BUS,GS,NelsonHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,2063320,F,MN,?,White,1-BA,PSY,BUS,FR,N,RG,309,533,42,3.184,24,25,25,26,25,23,?,?,?,?,3,2,?,2,2.03,N,0,0,15,15,1.74,15,1-BA,PSY,?,1-BA,BUS,PSY,BUS,P1,GetschHall,0,0,0,0,0,0,0,1,0,0,0,0,13,13,2.03,31,1-BA,PSY,?,1-BA,BUS,PSY,BUS,GS,GetschHall,0,0,0,0,0,0,0,1,0,0,0,0
2012,2063360,F,MN,?,White,1-BA,YOM,0,FR,T,PV,163,230,29.1,2.842,21,18,17,18,19,21,?,?,?,?,3,3,?,1,1.78,N,0,0,13,13,1.78,38,1-BA,YOM,?,?,0,BTS,?,P1,?,0,0,0,0,0,0,0,0,0,0,0,0,?,?,1.78,38,1-BA,YOM,?,?,0,BTS,0,?,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,2063413,M,WI,?,White,1-BA,BUS,0,FF,N,PV,143,205,30.2,2.516,16,22,15,22,18,17,?,?,?,?,3,3,?,8,2.79,N,0,0,13,13,2.53,13,1-BA,BUS,?,?,0,BUS,?,GS,GetschHall,0,0,0,0,0,0,0,0,0,0,0,0,14,11,2.42,27,1-BA,BUS,?,?,0,BUS,0,GS,GetschHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,2064933,M,MN,?,White,1-BS,COS,ENS,FR,N,RG,?,?,?,3.85,?,?,?,?,?,?,620,670,600,1290,?,?,?,8,3.96,Y,COS,0,15,15,3.75,29,1-BS,COS,?,1-BA,ENS,COS,PHY,GS,NelsonHall,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3.88,47,1-BS,COS,?,1-BA,ENS,COS,PHY,GS,NelsonHall,0,0,0,0,0,0,0,0,0,0,0,0
2012,1777983,F,MN,?,White,1-BS,NUR,0,SO,T,PV,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,3,?,8,3.61,Y,NUR,0,14,14,3.56,51,1-BS,NUR,?,?,0,NUR,?,GS,?,0,0,0,0,0,0,0,0,0,0,0,0,12,12,3.6,66,1-BS,NUR,?,?,0,NUR,0,GS,?,0,0,0,0,0,0,0,0,0,0,0,0
2012,1786001,M,MN,?,White,1-BA,BUS,0,FF,N,RG,?,?,?,2.716,23,26,23,23,24,21,?,?,?,?,3,3,?,8,2.74,N,0,0,14,14,2.27,14,1-BA,BUS,?,?,0,BUS,?,GS,GetschHall,0,0,0,0,0,0,0,0,0,0,0,0,14,14,2.39,32,1-BA,BUS,?,?,0,BUS,0,GS,GetschHall,0,0,0,0,0,0,0,0,0,0,0,0
